"Model","Year","ssp126","ssp245","ssp585"
"BCC-CSM2-MR",2048,157.2083,272.1037,822.6787
"BCC-CSM2-MR",2049,234.8254,652.2049,827.674
"BCC-CSM2-MR",2050,127.6881,106.365,545.7624
"BCC-CSM2-MR",2051,462.1088,368.5493,437.5124
"BCC-CSM2-MR",2052,127.7283,258.3322,442.5538
"BCC-CSM2-MR",2053,249.4595,391.5828,636.1696
"BCC-CSM2-MR",2054,584.2302,30.9649,626.8569
"BCC-CSM2-MR",2055,693.9349,48.2747,315.5033
"BCC-CSM2-MR",2056,349.5736,524.1308,434.046
"BCC-CSM2-MR",2057,519.5472,185.8713,831.3102
"BCC-CSM2-MR",2058,422.8745,514.8763,915.7056
"BCC-CSM2-MR",2059,594.934,519.8443,794.0404
"BCC-CSM2-MR",2060,534.6882,501.656,1032.8154
"BCC-CSM2-MR",2061,390.7431,694.7838,1029.9935
"BCC-CSM2-MR",2062,378.9854,604.413,1029.9935
"BCC-CSM2-MR",2063,175.5443,503.2868,984.8828
"BCC-CSM2-MR",2064,70.5717,612.5911,915.8418
"BCC-CSM2-MR",2065,585.6847,855.4056,913.3395
"BCC-CSM2-MR",2066,429.4278,937.5589,665.2374
"BCC-CSM2-MR",2067,201.4981,1054.5945,999.495
"BCC-CSM2-MR",2068,219.9317,996.3709,1029.7743
"BCC-CSM2-MR",2069,103.0311,708.8038,1209.4275
"BCC-CSM2-MR",2070,47.2308,940.605,1209.4275
"BCC-CSM2-MR",2071,281.9578,900.8424,1209.4275
"BCC-CSM2-MR",2072,60.3007,845.668,1212.741
"BCC-CSM2-MR",2073,291.1958,856.29,1209.4275
"BCC-CSM2-MR",2074,562.7677,772.5636,1154.7699
"BCC-CSM2-MR",2075,429.8592,919.289,1192.7835
"BCC-CSM2-MR",2076,482.3201,921.8076,1196.0514
"BCC-CSM2-MR",2077,370.2592,871.8657,1192.7835
"BCC-CSM2-MR",2078,382.0206,769.0952,1192.7835
"BCC-CSM2-MR",2079,263.4593,494.9176,824.7087
"BCC-CSM2-MR",2081,510.0912,566.9866,1211.2525
"BCC-CSM2-MR",2082,461.5819,704.5815,1211.2525
"BCC-CSM2-MR",2083,273.548,853.7623,1211.2525
"BCC-CSM2-MR",2084,368.3431,824.814,1214.571
"BCC-CSM2-MR",2085,453.3029,323.1069,1211.2525
"BCC-CSM2-MR",2086,186.2188,603.0575,1211.2525
"BCC-CSM2-MR",2087,537.3998,763.1108,1211.2525
"BCC-CSM2-MR",2088,420.0953,697.4486,1214.571
"BCC-CSM2-MR",2089,539.2546,496.8851,1211.2525
"BCC-CSM2-MR",2090,216.1454,1057.843,1211.2525
"BCC-CSM2-MR",2091,344.5568,1014.6233,1177.8905
"BCC-CSM2-MR",2092,402.1023,924.1866,1324.005
"BCC-CSM2-MR",2093,387.9849,682.3818,1320.3875
"BCC-CSM2-MR",2094,175.8614,915.733,1320.3875
"BCC-CSM2-MR",2095,505.5022,930.02,1320.3875
"BCC-CSM2-MR",2096,305.278,851.1934,1324.005
"BCC-CSM2-MR",2097,121.7826,677.315,1320.3875
"BCC-CSM2-MR",2098,392.6474,894.653,1320.3875
"BCC-CSM2-MR",2099,500.4851,802.1104,1305.4801
"BCC-CSM2-MR",2100,202.8339,657.8076,1314.4745
"CanESM5",2020,205.3269,393.9795,33.0976
"CanESM5",2021,20.0832,68.8702,0
"CanESM5",2022,489.2197,197.5361,169.5477
"CanESM5",2023,739.6994,134.1864,43.1544
"CanESM5",2024,611.5557,54.2349,0
"CanESM5",2025,359.5261,436,445.8061
"CanESM5",2026,74.5577,278.1099,659.3033
"CanESM5",2027,152.0772,523.3937,743.2068
"CanESM5",2028,33.9246,575.2067,594.5057
"CanESM5",2029,39.249,324.7888,752.3481
"CanESM5",2030,401.1753,636.9868,395.2194
"CanESM5",2031,497.1289,176.5416,398.734
"CanESM5",2032,393.3742,776.8901,189.9191
"CanESM5",2033,116.0706,495.0576,161.699
"CanESM5",2034,325.0668,579.742,302.0227
"CanESM5",2035,68.1693,521.6206,639.326
"CanESM5",2037,90.158,236.8288,731.4726
"CanESM5",2038,317.9485,580.637,453.2319
"CanESM5",2039,495.6583,752.5288,871.0176
"CanESM5",2040,398.3449,315.2682,759.7759
"CanESM5",2041,306.7978,750.0918,300.4398
"CanESM5",2042,286.3016,639.9072,788.5887
"CanESM5",2043,330.8305,537.2183,880.9664
"CanESM5",2044,344.8737,761.9612,1010.8943
"CanESM5",2045,563.2667,333.7963,828.3056
"CanESM5",2046,810.2548,320.7709,300.1785
"CanESM5",2047,584.6134,598.7444,668.2616
"CanESM5",2048,650.6376,512.0853,1071.2856
"CanESM5",2049,1069.742,334.1108,1107.337
"CanESM5",2050,644.2567,250.8821,767.8628
"CanESM5",2051,365.5484,891.6627,596.076
"CanESM5",2052,1082.748,580.531,391.4182
"CanESM5",2053,716.2262,645.4407,851.987
"CanESM5",2054,619.778,731.3202,750.5977
"CanESM5",2055,735.7317,808.4574,523.2884
"CanESM5",2056,1003.2137,961.4724,942.2549
"CanESM5",2057,902.0342,809.7464,993.6865
"CanESM5",2058,516.8086,622.6309,1121.718
"CanESM5",2059,133.6141,990.6278,1009.407
"CanESM5",2060,586.9105,1105.869,1190.8176
"CanESM5",2061,537.0702,1007.76,1187.564
"CanESM5",2062,670.8771,1043.9379,1030.4977
"CanESM5",2063,1006.378,1099.4895,1063.5053
"CanESM5",2064,1009.1352,1037.1978,1401.8898
"CanESM5",2065,454.1715,1013.4225,1398.0595
"CanESM5",2066,717.7794,723.5925,1398.0595
"CanESM5",2067,687.1558,987.1425,1398.0595
"CanESM5",2068,874.5094,966.1158,1401.8898
"CanESM5",2069,1027.7142,640.4605,1398.0595
"CanESM5",2070,666.8133,583.4606,1398.0595
"CanESM5",2071,780.5925,1193.8707,1398.0595
"CanESM5",2072,711.1412,1203.7374,1401.8898
"CanESM5",2073,590.898,1200.4485,1398.0595
"CanESM5",2074,514.9971,1200.4485,1398.0595
"CanESM5",2075,709.5525,1200.4485,1398.0595
"CanESM5",2076,519.7987,1203.7374,1401.8898
"CanESM5",2077,696.1034,1200.4485,1392.3255
"CanESM5",2078,1107.3508,1141.6198,1639.6895
"CanESM5",2079,1085.4005,1019.6275,1639.6895
"CanESM5",2080,1085.5396,780.2383,1644.1818
"CanESM5",2081,659.1446,423.0208,1639.6895
"CanESM5",2082,737.5988,935.6267,1639.6895
"CanESM5",2083,466.5471,1040.805,1639.6895
"CanESM5",2084,1098.4974,1085.922,1644.1818
"CanESM5",2085,1132.6315,1003.88,1639.6895
"CanESM5",2086,1108.5786,768.9759,1639.6895
"CanESM5",2087,386.9789,729.6312,1639.6895
"CanESM5",2088,527.0496,867.673,1644.1818
"CanESM5",2089,897.9579,333.7407,1639.6895
"CanESM5",2090,827.7028,1031.7456,1639.6895
"CanESM5",2091,523.3132,771.4968,1639.6895
"CanESM5",2092,344.7866,1182.546,1644.1818
"CanESM5",2093,953.7854,1179.315,1639.6895
"CanESM5",2094,306.3316,1179.315,1639.6895
"CanESM5",2095,653.2804,1179.315,1639.6895
"CanESM5",2096,642.5425,1182.546,1644.1818
"CanESM5",2097,216.6725,1179.315,1639.6895
"CanESM5",2098,507.3955,1179.315,1639.6895
"CanESM5",2099,911.7554,1179.315,1639.6895
"CanESM5",2100,759.0316,1179.315,1639.6895
"EC-Earth3",2020,392.7125,8.6385,121.5863
"EC-Earth3",2021,9.8946,158.311,386.2076
"EC-Earth3",2022,553.5114,524.9775,319.0972
"EC-Earth3",2023,415.1061,253.7207,268.6953
"EC-Earth3",2024,384.0038,203.0601,176.95
"EC-Earth3",2025,132.1332,308.9331,388.054
"EC-Earth3",2026,484.5241,274.0976,171.8058
"EC-Earth3",2027,249.0872,343.3625,71.2853
"EC-Earth3",2028,58.528,318.5012,369.7501
"EC-Earth3",2029,150.1146,285.4476,513.4782
"EC-Earth3",2030,246.6053,302.0554,424.3556
"EC-Earth3",2031,46.4761,448.8684,578.0111
"EC-Earth3",2032,393.474,345.5844,382.6592
"EC-Earth3",2033,329.913,423.6067,407.2953
"EC-Earth3",2034,322.9628,339.4614,479.7161
"EC-Earth3",2035,232.4251,429.5023,238.7101
"EC-Earth3",2036,286.784,474.3136,381.9714
"EC-Earth3",2037,540.7934,161.1357,46.3416
"EC-Earth3",2038,325.6827,361.4576,402.0406
"EC-Earth3",2039,219.833,202.8311,709.8974
"EC-Earth3",2040,269.6652,68.0905,912.6713
"EC-Earth3",2041,137.3611,589.286,353.439
"EC-Earth3",2042,145.75,506.7223,449.0044
"EC-Earth3",2043,768.1435,143.2117,648.3022
"EC-Earth3",2044,620.0831,437.1874,742.4036
"EC-Earth3",2045,295.0171,261.3877,665.6538
"EC-Earth3",2046,485.8111,311.4027,670.1896
"EC-Earth3",2047,531.9417,50.1144,449.2315
"EC-Earth3",2048,298.849,284.3318,735.024
"EC-Earth3",2049,466.7979,405.8804,730.9636
"EC-Earth3",2050,518.9701,944.693,1038.1695
